quiet,active,noisy,unquiet
empty,full
bright,dimmed,dull
modern,nonmodern
large,little,small
relaxed,tense
convenient,incommodious,inconvenient
fast,slow
cheap,expensive
fancy,plain
simple,complex,compound
expensive,cheap
traditional,nontraditional
unlimited,limited
cool,warm
beautiful,ugly
generous,stingy,ungenerous
quiet,active,noisy,unquiet
empty,full
bright,dimmed,dull
modern,nonmodern
large,little,small
relaxed,tense
convenient,incommodious,inconvenient
fast,slow
cheap,expensive
fancy,plain
simple,complex,compound
expensive,cheap
traditional,nontraditional
unlimited,limited
cool,warm
beautiful,ugly
generous,stingy,ungenerous
